Reading,Lux,Anomaly,Smoothed Lux
263,87.5,False,87.5
264,87.5,False,87.5
265,86.67,False,87.334
266,86.67,False,87.168
267,86.67,False,87.002
268,86.67,False,86.836
269,86.67,False,86.67
270,86.67,False,86.67
271,86.67,False,86.67
272,86.67,False,86.67
273,86.67,False,86.67
274,86.67,False,86.67
275,86.67,False,86.67
276,86.67,False,86.67
277,86.67,False,86.67
278,86.67,False,86.67
279,86.67,False,86.67
280,86.67,False,86.67
281,86.67,False,86.67
282,86.67,False,86.67
283,86.67,False,86.67
284,86.67,False,86.67
285,86.67,False,86.67
286,86.67,False,86.67
287,86.67,False,86.67
288,86.67,False,86.67
289,86.67,False,86.67
290,86.67,False,86.67
291,86.67,False,86.67
292,86.67,False,86.67
293,86.67,False,86.67
294,86.67,False,86.67
295,85.83,False,86.502
296,85.83,False,86.334
297,85.83,False,86.16600000000001
298,85.83,False,85.998
299,85.83,False,85.83
300,85.83,False,85.83
301,85.83,False,85.83
302,85.83,False,85.83
303,85.83,False,85.83
304,85.83,False,85.83
305,85.83,False,85.83
306,85.83,False,85.83
307,85.83,False,85.83
308,85.83,False,85.83
309,85.83,False,85.83
310,85.83,False,85.83
311,85.83,False,85.83
312,85.83,False,85.83
313,85.83,False,85.83
314,85.83,False,85.83
315,85.83,False,85.83
316,85.83,False,85.83
317,85.83,False,85.83
318,85.83,False,85.83
319,85.83,False,85.83
320,85.83,False,85.83
321,85.83,False,85.83
322,85.83,False,85.83
323,85.83,False,85.83
324,85.83,False,85.83
325,85.83,False,85.83
326,85.83,False,85.83
327,85.83,False,85.83
328,85.83,False,85.83
329,85.83,False,85.83
330,85.83,False,85.83
331,85.83,False,85.83
332,85.83,False,85.83
333,85.83,False,85.83
334,85.83,False,85.83
335,85.83,False,85.83
336,85.83,False,85.83
337,85.83,False,85.83
338,85.83,False,85.83
339,85.83,False,85.83
340,85.83,False,85.83
341,85.83,False,85.83
342,85.83,False,85.83
343,85.83,False,85.83
344,85.83,False,85.83
345,85.83,False,85.83
346,85.83,False,85.83
347,85.83,False,85.83
348,85.83,False,85.83
349,85.83,False,85.83
350,85.83,False,85.83
351,85.83,False,85.83
352,85.83,False,85.83
353,85.83,False,85.83
354,85.83,False,85.83
355,85.83,False,85.83
356,85.83,False,85.83
357,85.83,False,85.83
358,85.83,False,85.83
359,85.83,False,85.83
360,85.83,False,85.83
361,85.83,False,85.83
362,85.83,False,85.83
363,85.83,False,85.83
364,85.83,False,85.83
365,85.83,False,85.83
366,85.83,False,85.83
367,85.83,False,85.83
368,85.83,False,85.83
369,85.83,False,85.83
370,85.83,False,85.83
371,85.83,False,85.83
372,85.83,False,85.83
373,85.83,False,85.83
374,85.83,False,85.83
375,85.83,False,85.83
376,85.83,False,85.83
377,85.83,False,85.83
378,85.83,False,85.83
379,85.83,False,85.83
380,85.83,False,85.83
381,85.83,False,85.83
382,85.83,False,85.83
383,85.83,False,85.83
384,85.83,False,85.83
385,85.83,False,85.83
386,85.83,False,85.83
387,85.83,False,85.83
388,85.83,False,85.83
389,85.83,False,85.83
390,85.83,False,85.83
391,85.83,False,85.83
392,85.83,False,85.83
393,85.83,False,85.83
394,85.83,False,85.83
395,85.83,False,85.83
396,85.83,False,85.83
397,85.83,False,85.83
398,85.83,False,85.83
399,85.83,False,85.83
400,85.83,False,85.83
401,85.83,False,85.83
402,85.83,False,85.83
403,85.83,False,85.83
404,85.83,False,85.83
405,85.83,False,85.83
406,85.83,False,85.83
407,85.83,False,85.83
408,85.83,False,85.83
409,85.83,False,85.83
410,85.83,False,85.83
411,85.83,False,85.83
412,85.83,False,85.83
413,85.83,False,85.83
414,85.83,False,85.83
415,85.83,False,85.83
416,85.83,False,85.83
417,85.83,False,85.83
418,85.83,False,85.83
419,85.83,False,85.83
420,85.83,False,85.83
421,85.83,False,85.83
422,85.83,False,85.83
423,85.83,False,85.83
424,85.83,False,85.83
425,85.83,False,85.83
426,85.83,False,85.83
427,85.83,False,85.83
428,85.83,False,85.83
429,85.83,False,85.83
430,85.83,False,85.83
431,85.83,False,85.83
432,85.83,False,85.83
433,85.83,False,85.83
434,85.83,False,85.83
435,85.83,False,85.83
436,85.83,False,85.83
437,85.83,False,85.83
438,85.83,False,85.83
439,85.83,False,85.83
440,85.83,False,85.83
441,85.83,False,85.83
442,85.83,False,85.83
443,85.83,False,85.83
444,85.83,False,85.83
445,85.83,False,85.83
446,85.83,False,85.83
447,85.83,False,85.83
448,85.83,False,85.83
449,85.83,False,85.83
450,85.83,False,85.83
451,85.83,False,85.83
452,85.83,False,85.83
453,85.83,False,85.83
454,85.83,False,85.83
455,85.83,False,85.83
456,85.83,False,85.83
457,85.83,False,85.83
458,85.83,False,85.83
459,85.83,False,85.83
460,85.83,False,85.83
461,85.83,False,85.83
462,85.83,False,85.83
463,85.83,False,85.83
464,85.83,False,85.83
465,85.83,False,85.83
466,85.83,False,85.83
467,85.83,False,85.83
468,85.83,False,85.83
469,85.83,False,85.83
470,85.83,False,85.83
471,85.83,False,85.83
