Dataset,Mean,Median,Variance,Std Dev,Minimum,Maximum,Range,Total Readings,Removed Anomalies
Bright,2399.8977428998505,1788.33,4247921.147933197,2061.0485554525876,0.83,8616.67,8615.84,38144,1349
Dim,76.72800180559734,79.17,1041.9273026332862,32.27889872088709,23.33,154.17,130.83999999999997,38144,1591
Dark,9.250767872671217,5.0,62.48497462907637,7.904743805404219,0.0,30.83,30.83,38144,195
