Reading,Lux,Anomaly,Smoothed Lux
1,415.83,False,415.83
2,415.83,False,415.83
3,415.83,False,415.83
4,415.83,False,415.83
5,415.83,False,415.83
6,415.83,False,415.83
7,415.83,False,415.83
8,415.83,False,415.83
9,415.83,False,415.83
10,415.83,False,415.83
11,415.83,False,415.83
12,415.83,False,415.83
13,415.83,False,415.83
14,415.83,False,415.83
15,415.83,False,415.83
16,415.83,False,415.83
17,415.83,False,415.83
18,415.83,False,415.83
19,415.83,False,415.83
20,415.83,False,415.83
21,415.83,False,415.83
22,415.83,False,415.83
23,415.83,False,415.83
24,435.0,False,419.66399999999993
25,435.0,False,423.49799999999993
26,435.0,False,427.332
27,435.0,False,431.166
28,435.0,False,435.0
29,435.0,False,435.0
30,435.0,False,435.0
31,435.0,False,435.0
32,435.0,False,435.0
33,435.0,False,435.0
34,435.0,False,435.0
35,435.0,False,435.0
36,435.0,False,435.0
37,435.0,False,435.0
38,435.0,False,435.0
39,435.0,False,435.0
40,435.0,False,435.0
41,435.0,False,435.0
42,435.0,False,435.0
43,435.0,False,435.0
44,435.0,False,435.0
45,435.0,False,435.0
46,435.0,False,435.0
47,435.0,False,435.0
48,435.0,False,435.0
49,435.0,False,435.0
50,435.0,False,435.0
51,435.0,False,435.0
52,435.0,False,435.0
53,435.0,False,435.0
54,369.17,False,421.834
55,369.17,False,408.668
56,369.17,False,395.502
57,369.17,False,382.336
58,369.17,False,369.17
59,369.17,False,369.17
60,369.17,False,369.17
61,369.17,False,369.17
62,369.17,False,369.17
63,369.17,False,369.17
64,369.17,False,369.17
65,369.17,False,369.17
66,369.17,False,369.17
67,369.17,False,369.17
68,369.17,False,369.17
69,369.17,False,369.17
70,369.17,False,369.17
71,369.17,False,369.17
72,369.17,False,369.17
73,369.17,False,369.17
74,369.17,False,369.17
75,369.17,False,369.17
76,369.17,False,369.17
77,369.17,False,369.17
78,369.17,False,369.17
79,369.17,False,369.17
80,369.17,False,369.17
81,369.17,False,369.17
82,369.17,False,369.17
83,369.17,False,369.17
84,369.17,False,369.17
85,305.0,False,356.336
86,305.0,False,343.502
87,305.0,False,330.668
88,305.0,False,317.834
89,305.0,False,305.0
90,305.0,False,305.0
91,305.0,False,305.0
92,305.0,False,305.0
93,305.0,False,305.0
94,305.0,False,305.0
95,305.0,False,305.0
96,305.0,False,305.0
97,305.0,False,305.0
98,305.0,False,305.0
99,305.0,False,305.0
100,305.0,False,305.0
101,305.0,False,305.0
102,305.0,False,305.0
103,305.0,False,305.0
104,305.0,False,305.0
105,305.0,False,305.0
106,305.0,False,305.0
107,305.0,False,305.0
108,305.0,False,305.0
109,305.0,False,305.0
110,305.0,False,305.0
111,305.0,False,305.0
112,305.0,False,305.0
113,305.0,False,305.0
114,305.0,False,305.0
115,311.67,False,306.334
116,311.67,False,307.668
117,311.67,False,309.002
118,311.67,False,310.336
119,311.67,False,311.67
120,311.67,False,311.67
121,311.67,False,311.67
122,311.67,False,311.67
123,311.67,False,311.67
124,311.67,False,311.67
125,311.67,False,311.67
126,311.67,False,311.67
127,311.67,False,311.67
128,311.67,False,311.67
129,311.67,False,311.67
130,311.67,False,311.67
131,311.67,False,311.67
132,311.67,False,311.67
133,311.67,False,311.67
134,311.67,False,311.67
135,311.67,False,311.67
136,311.67,False,311.67
137,311.67,False,311.67
138,311.67,False,311.67
139,311.67,False,311.67
140,311.67,False,311.67
141,311.67,False,311.67
142,311.67,False,311.67
